mV','seconds'
6.9617,0.11725
6.955,0.1175
6.955,0.11775
6.96,0.118
6.955,0.11825
6.9533,0.1185
6.955,0.11875
6.9617,0.119
6.9617,0.11925
6.9717,0.1195
6.97,0.11975
6.9767,0.12
6.9767,0.12025
6.98,0.1205
6.98,0.12075
6.9833,0.121
6.9817,0.12125
6.9783,0.1215
6.9783,0.12175
6.9817,0.122
6.9817,0.12225
6.99,0.1225
6.9917,0.12275
6.9967,0.123
6.9983,0.12325
7.0083,0.1235
7.0083,0.12375
7.0217,0.124
7.0217,0.12425
7.0267,0.1245
7.0267,0.12475
7.0133,0.125
7.0133,0.12525
6.9833,0.1255
6.9817,0.12575
6.9517,0.126
6.9517,0.12625
6.935,0.1265
6.9333,0.12675
6.9383,0.127
6.94,0.12725
6.9533,0.1275
6.9533,0.12775
6.96,0.128
6.96,0.12825
6.9617,0.1285
6.96,0.12875
6.955,0.129
6.9567,0.12925
6.9533,0.1295
6.9533,0.12975
6.9567,0.13
6.9583,0.13025
6.9633,0.1305
6.9633,0.13075
6.97,0.131
6.97,0.13125
6.9733,0.1315
6.9733,0.13175
6.98,0.132
6.98,0.13225
6.985,0.1325
6.9833,0.13275
6.9883,0.133
6.9883,0.13325
6.9833,0.1335
6.9833,0.13375
6.9817,0.134
6.9833,0.13425
6.9733,0.1345
6.9733,0.13475
6.9667,0.135
6.9667,0.13525
6.96,0.1355
6.96,0.13575
6.955,0.136
6.9567,0.13625
6.9533,0.1365
6.9533,0.13675
6.95,0.137
6.95,0.13725
6.9533,0.1375
6.9533,0.13775
6.9617,0.138
6.9617,0.13825
6.9717,0.1385
6.9717,0.13875
6.9767,0.139
6.9767,0.13925
6.9733,0.1395
6.9767,0.13975
6.9783,0.14
6.9767,0.14025
6.98,0.1405
6.9783,0.14075
6.9817,0.141
6.9817,0.14125
6.9833,0.1415
6.9817,0.14175
6.9783,0.142
6.9783,0.14225
6.9717,0.1425
6.975,0.14275
6.985,0.143
6.9867,0.14325
6.9933,0.1435
6.995,0.14375
7,0.144
7,0.14425
7.0067,0.1445
7.0067,0.14475
7.0183,0.145
7.0167,0.14525
7.0317,0.1455
7.0333,0.14575
7.0517,0.146
7.0533,0.14625
7.0817,0.1465
7.0833,0.14675
7.1283,0.147
7.1317,0.14725
7.175,0.1475
7.195,0.14775
7.0633,0.148
7.05,0.14825
6.96,0.1485
7.0367,0.14875
7.0833,0.149
7.08,0.14925
7.1233,0.1495
7.125,0.14975
7.1417,0.15
7.135,0.15025
7.0833,0.1505
7.08,0.15075
7.005,0.151
7.0033,0.15125
6.9483,0.1515
6.9483,0.15175
6.92,0.152
6.92,0.15225
6.9,0.1525
6.9,0.15275
6.8933,0.153
6.8933,0.15325
6.89,0.1535
6.8917,0.15375
6.8983,0.154
6.8983,0.15425
6.905,0.1545
6.905,0.15475
6.9167,0.155
6.9167,0.15525
6.9267,0.1555
6.9267,0.15575
6.9417,0.156
6.9433,0.15625
6.9667,0.1565
6.9683,0.15675
6.9833,0.157
6.9833,0.15725
6.975,0.1575
6.975,0.15775
6.9667,0.158
6.9667,0.15825
6.9617,0.1585
6.9617,0.15875
6.9567,0.159
6.9567,0.15925
6.9617,0.1595
6.9617,0.15975
6.9617,0.16
6.965,0.16025
6.9633,0.1605
6.97,0.16075
6.97,0.161
6.9767,0.16125
6.975,0.1615
6.98,0.16175
6.98,0.162
6.985,0.16225
6.985,0.1625
6.9917,0.16275
6.99,0.163
6.995,0.16325
6.9933,0.1635
6.9967,0.16375
6.995,0.164
6.9967,0.16425
6.995,0.1645
6.99,0.16475
6.9933,0.165
6.99,0.16525
6.9933,0.1655
6.9983,0.16575
6.9967,0.166
7.0017,0.16625
7.0017,0.1665
7,0.16675
7.0017,0.167
7.0083,0.16725
7.0083,0.1675
7.015,0.16775
7.015,0.168
7.02,0.16825
7.02,0.1685
7.03,0.16875
7.03,0.169
7.0383,0.16925
7.0383,0.1695
7.0483,0.16975
7.05,0.17
7.065,0.17025
7.0667,0.1705
7.1217,0.17075
7.1483,0.171
6.965,0.17125
6.9433,0.1715
6.96,0.17175
6.9617,0.172
6.9917,0.17225
6.9933,0.1725
7.0067,0.17275
7.0067,0.173
7.0117,0.17325
7.01,0.1735
7.0117,0.17375
7.0117,0.174
7.0067,0.17425
7.0067,0.1745
7.01,0.17475
7.01,0.175
7.0167,0.17525
7.0183,0.1755
7.0217,0.17575
7.0217,0.176
7.0183,0.17625
7.0233,0.1765
7.0267,0.17675
7.025,0.177
